"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"43153",42.5,0,18.81,13.7,9,0.2064,0
"43154",37.9,0,17.54,12.8,9.2,0.2168,1
"43155",52.2,0,18.72,14.4,12.4,0.2228,0
"43156",44,0,18.24,14.9,9.8,0.169,0
"43157",32.9,0,18.35,11.8,8,0.1835,0
"43158",37.5,0,18.31,12.8,8,0.2419,0
"43159",44.2,0,18.57,13.7,8.3,0.1666,0
"43163",33.1,0,17.31,10.1,8.8,0.1551,0
"43164",36.3,0,18.5,11.6,8.8,0.2104,0
"43165",40,0,18.14,13.5,8.6,0.1726,0
"43168",43.3,0,19.01,13,7.9,0.2188,0
"43169",28.3,0,18.57,NA,8.4,0.1898,1
"43170",44.2,0,18.57,13.3,11.2,0.1712,0
"43171",41,0,18.68,12.1,11,0.1988,0
"43174",35.7,0,18.31,12.5,9.9,0.1905,0
"43175",37,0,18.58,11.1,8.4,0.1663,0
"43176",45,0,18.57,12.6,13.2,0.1786,0
"43177",49.1,0,18.59,NA,10.6,0.2216,1
"43178",43.8,0,18.51,14.5,9.1,0.1709,0
"43179",33.3,0,18.66,13.3,10.8,0.1836,0
"43182",47.6,0,19.06,15.3,10.3,0.2141,0
"43183",38,0,18.48,11.2,9.2,0.2485,0
"43184",43.3,0,19.36,13.5,10.1,0.2216,0
"43185",34.6,0,18.73,12.3,11.4,0.2062,0
"43186",38.8,0,19.4,11.5,8.4,0.2078,0
"43190",36.9,0,18.3,10.9,9.5,0.1755,0
"43191",43.7,0,18.06,11.3,11.2,0.1745,1
"43325",40.1,0,18.76,13.1,10.1,0.1983,0
"43326",36.5,0,18.77,12.7,12.1,0.1614,1
"43327",42.3,0,17.95,11.9,8.9,0.176,0
"43329",36.2,0,18.73,13.6,9.9,0.1815,1
"43330",30.2,0,18.32,13.9,9.8,0.1893,0
"43331",36.9,0,19.13,13.1,9.4,0.2014,0
"43332",38.2,0,18.54,13.3,9.9,0.2086,1
"43333",39.3,0,18.62,12.2,8.5,NA,0
"43334",37.4,0,19.19,13.5,8.6,0.198,0
"43335",35,0,18.95,12,8.2,0.2079,0
